Date,Product,Category,Region,Sales,Units_Sold,Profit
2024-01-01,Laptop,Electronics,North,12000,5,2400
2024-01-02,Smartphone,Electronics,South,8000,8,1600
2024-01-03,Desk Chair,Furniture,East,1500,3,450
2024-01-04,Monitor,Electronics,West,3000,4,900
2024-01-05,Office Desk,Furniture,North,2500,2,750
2024-01-06,Printer,Electronics,South,1800,2,540
2024-01-07,Bookshelf,Furniture,East,1200,2,360
2024-01-08,Tablet,Electronics,West,6000,6,1800
2024-01-09,Desk Lamp,Furniture,North,800,4,240
2024-01-10,Headphones,Electronics,South,2400,6,720
2024-01-11,Office Chair,Furniture,East,1800,3,540
2024-01-12,Keyboard,Electronics,West,1200,6,360
2024-01-13,File Cabinet,Furniture,North,2200,2,660
2024-01-14,Mouse,Electronics,South,900,9,270
2024-01-15,Standing Desk,Furniture,East,3500,2,1050 
